Year,Country,sex,age,suicides_no,population,suicides_by_pop,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,crime_index,saftey_index
2015,Brazil,male,35-54,3238.0,26989063.0,0.011997452449534835,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,68.95,31.05
2015,Brazil,male,05-14,79.0,16057040.0,0.000491996034138297,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,68.95,31.05
2015,Brazil,male,55-74,1693.0,12987357.0,0.013035754695893862,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,68.95,31.05
2015,Brazil,male,75+,470.0,2448560.0,0.019194955402358937,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,68.95,31.05
2013,Canada,female,15-24,138.0,2261173.0,0.006103027057195535,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,female,15-24,138.0,2261173.0,0.006103027057195535,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,female,25-34,135.0,2433660.0,0.0055472005128078695,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,female,25-34,135.0,2433660.0,0.0055472005128078695,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,female,35-54,400.0,5003771.0,0.007993970947111689,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,female,35-54,400.0,5003771.0,0.007993970947111689,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,female,05-14,20.0,1823010.0,0.0010970866863045184,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,female,05-14,20.0,1823010.0,0.0010970866863045184,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,female,55-74,255.0,3887315.0,0.0065597977009838404,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,female,55-74,255.0,3887315.0,0.0065597977009838404,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,female,75+,65.0,1410630.0,0.004607870242373975,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,female,75+,65.0,1410630.0,0.004607870242373975,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,male,15-24,300.0,2362807.0,0.012696762791036256,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,male,15-24,300.0,2362807.0,0.012696762791036256,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,male,25-34,439.0,2456335.0,0.0178721550602829,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,male,25-34,439.0,2456335.0,0.0178721550602829,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,male,35-54,1244.0,5032714.0,0.02471827328157332,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,male,35-54,1244.0,5032714.0,0.02471827328157332,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,male,05-14,15.0,1927751.0,0.0007781087910212471,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,male,05-14,15.0,1927751.0,0.0007781087910212471,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Canada,male,55-74,812.0,3724622.0,0.021800869994324255,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,male,55-74,812.0,3724622.0,0.021800869994324255,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
